ID,Datacenter_location_input,Network_zone_Input,Environment_input,application_input,Vcenter,Vmware_datacenter,Vmware_cluster,Vmware_datastore_keyword,Vmware_datastore_name,Vmware_networks,Subnet_name,Vlan,Subnet_address,Subnet_gateway,Subnet_netmask,DNS1,DNS2,DNS3,DNS_Suffix,DNS_prefix,Timezone
1,DC1B,EDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_001,eDMZ-VLAN-3500,XF-EDZ-PRD-APP-192.0-27,VLAN 3500,10.17.192.0/27,10.17.192.1,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
2,DC1B,EDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,eDMZ-VLAN-3501,XF-EDZ-PRD-APP-192.32-27,VLAN 3501,10.17.192.32/27,10.17.192.33,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
3,DC1B,EDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,eDMZ-VLAN-3502,XF-EDZ-PRD-APP-192.64-27,VLAN 3502,10.17.192.64/27,10.17.192.65,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
4,DC1B,EDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,eDMZ-VLAN-3503,XF-EDZ-PRD-APP-192.96-27,VLAN 3503,10.17.192.96/27,10.17.192.97,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
5,DC1B,EDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,eDMZ-VLAN-3504,XF-EDZ-PRD-APP-192.128-27,VLAN 3504,10.17.192.128/27,10.17.192.129,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
6,DC1B,EDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,eDMZ-VLAN-3505,XF-EDZ-PRD-APP-192.160-27,VLAN 3505,10.17.192.160/27,10.17.192.161,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
7,DC1B,EDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,eDMZ-VLAN-3506,XF-EDZ-PRD-APP-192.192-27,VLAN 3506,10.17.192.192/27,10.17.193.193,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
8,DC1B,EDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,eDMZ-VLAN-3507,XF-EDZ-PRD-APP-192.224-27,VLAN 3507,10.17.192.224/27,10.17.192.225,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
9,DC1B,EDZ,PRODUCTION,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,eDMZ-VLAN-3508,XF-EDZ-PRD-WEB-193.0-27,VLAN 3508,10.17.193.0/27,10.17.193.1,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
10,DC1B,EDZ,PRODUCTION,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,eDMZ-VLAN-3509,XF-EDZ-PRD-WEB-193.32-27,VLAN 3509,10.17.193.32/27,10.17.193.33,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
11,DC1B,EDZ,PRODUCTION,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,eDMZ-VLAN-3510,XF-EDZ-PRD-WEB-193.64-27,VLAN 3510,10.17.193.64/27,10.17.193.65,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
12,DC1B,EDZ,PRODUCTION,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,eDMZ-VLAN-3511,XF-EDZ-PRD-WEB-193.96-27,VLAN 3511,10.17.193.96/27,10.17.193.97,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
13,DC1B,EDZ,PRODUCTION,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,eDMZ-VLAN-3512,XF-EDZ-PRD-WEB-193.128-27,VLAN 3512,10.17.193.128/27,10.17.193.129,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
14,DC1B,EDZ,PRODUCTION,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,eDMZ-VLAN-3513,XF-EDZ-PRD-WEB-193.160-27,VLAN 3513,10.17.193.160/27,10.17.193.161,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
15,DC1B,EDZ,PRODUCTION,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,eDMZ-VLAN-3514,XF-EDZ-PRD-WEB-193.192-27,VLAN 3514,10.17.193.192/27,10.17.193.193,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
16,DC1B,EDZ,PRODUCTION,FE/BE,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,eDMZ-VLAN-3515,XF-EDZ-PRD-WEB-193.224-27,VLAN 3515,10.17.193.224/27,10.17.193.225,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
17,DC1B,EDZ,PRODUCTION,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-DMZCLU1,DMZ,XF_PRIMERA_DL360_DMZ_001/XF_PRIMERA_DMZ_002,eDMZ-VLAN-3516,XF-EDZ-PRD-APP-194.0-27,VLAN 3516,10.17.194.0/27,10.17.194.1,255.255.255.224,10.17.106.6,10.16.7.13,10.16.7.12,xe.abb.com,XF,W. Europe Standard Time
